year,event,subevenid,date,finishers
1995,marathon,21722,04/06/1995,519
1996,marathon,21720,19/05/1996,1167
1997,marathon,21718,25/05/1997,1639
1998,marathon,21716,24/05/1998,2222
1999,marathon,21712,23/05/1999,2782
2000,marathon,11414,21/05/2000,2776
2001,marathon,11418,20/05/2001,2641
2002,marathon,11422,19/05/2002,2809
2003,marathon,11426,18/05/2003,2602
2004,marathon,11434,23/05/2004,3433
2005,marathon,11445,22/05/2005,3402
2006,marathon,11455,14/05/2006,2991
2007,marathon,11466,13/05/2007,3190
2008,marathon,11480,11/05/2008,3691
2009,marathon,11491,10/05/2009,3976
2010,marathon,11505,09/05/2010,4859
2011,marathon,11570,08/05/2011,4629
2012,marathon,11256,13/05/2012,5607
2013,marathon,11329,12/05/2013,5766
2014,marathon,2,11/05/2014,5846
2015,marathon,52,03/05/2015,5871
2016,marathon,11875,08/05/2016,5777
2017,marathon,20619,07/05/2017,6510
2018,marathon,21430,06/05/2018,6950
2019,marathon,22167,05/05/2019,7299
2022,marathon,24245,08/05/2022,4612
2023,marathon,24851,07/05/2023,5421
